,kdcode,dt,label,event_att,news_att,price_att,up,down,neural,pred_label,ori_pred_label,pred_probability
0,000001.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.26369315,0.23421334,0.50209343,2,0,"[0.2636931538581848, 0.23421333730220795, 0.5020934343338013]"
1,000002.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.279313,0.27690905,0.44377792,2,0,"[0.27931299805641174, 0.2769090533256531, 0.4437779188156128]"
2,000005.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.27341625,0.27055037,0.45603338,2,2,"[0.2734162509441376, 0.27055037021636963, 0.4560333788394928]"
3,000006.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.26046053,0.3012178,0.4383217,2,1,"[0.2604605257511139, 0.30121779441833496, 0.43832170963287354]"
4,000007.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.24665019,0.29173842,0.46161145,2,0,"[0.24665018916130066, 0.2917384207248688, 0.46161144971847534]"
5,000008.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.26212654,0.32486793,0.41300556,2,1,"[0.26212653517723083, 0.32486793398857117, 0.4130055606365204]"
6,000009.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.25783744,0.23808496,0.5040776,2,0,"[0.2578374445438385, 0.23808495700359344, 0.5040776133537292]"
7,000010.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.26618573,0.2077232,0.52609104,2,0,"[0.2661857306957245, 0.2077232003211975, 0.5260910391807556]"
8,000011.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.27068526,0.32498056,0.4043342,2,1,"[0.27068525552749634, 0.32498055696487427, 0.4043341875076294]"
9,000012.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.25389382,0.24593349,0.50017273,2,0,"[0.25389382243156433, 0.24593348801136017, 0.5001727342605591]"
10,000014.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.26836142,0.24665987,0.4849787,2,1,"[0.2683614194393158, 0.24665987491607666, 0.48497870564460754]"
11,000016.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.21183188,0.15845461,0.62971354,2,0,"[0.21183188259601593, 0.15845461189746857, 0.6297135353088379]"
12,000017.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.24242865,0.22984959,0.52772176,2,0,"[0.24242864549160004, 0.22984959185123444, 0.5277217626571655]"
13,000018.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.28423035,0.27746254,0.43830705,2,2,"[0.2842303514480591, 0.27746254205703735, 0.4383070468902588]"
14,000019.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.24597247,0.19583559,0.5581919,2,0,"[0.24597246944904327, 0.19583559036254883, 0.5581918954849243]"
15,000020.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.25947705,0.19023073,0.55029225,2,0,"[0.25947704911231995, 0.19023072719573975, 0.5502922534942627]"
16,000021.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.24286602,0.30504227,0.45209166,2,2,"[0.24286602437496185, 0.3050422668457031, 0.45209166407585144]"
17,000023.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.24837099,0.20005223,0.5515768,2,0,"[0.24837099015712738, 0.20005223155021667, 0.5515767931938171]"
18,000025.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.25214303,0.2353323,0.5125246,2,0,"[0.2521430253982544, 0.23533229529857635, 0.5125246047973633]"
19,000026.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.23500402,0.17035583,0.59464014,2,0,"[0.2350040227174759, 0.17035582661628723, 0.5946401357650757]"
20,000027.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.22654903,0.19251084,0.5809401,2,0,"[0.22654902935028076, 0.19251084327697754, 0.5809401273727417]"
21,000028.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.21905059,0.17823422,0.60271525,2,0,"[0.2190505862236023, 0.17823421955108643, 0.602715253829956]"
22,000030.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.25779685,0.1706524,0.5715507,2,0,"[0.25779685378074646, 0.17065240442752838, 0.571550726890564]"
23,000031.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.32582304,0.2982713,0.37590563,2,0,"[0.325823038816452, 0.2982712984085083, 0.3759056329727173]"
24,000032.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.2692902,0.23100366,0.4997061,2,0,"[0.2692902088165283, 0.23100365698337555, 0.49970608949661255]"
25,000034.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.23259822,0.20604007,0.56136173,2,0,"[0.232598215341568, 0.20604006946086884, 0.5613617300987244]"
26,000035.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.23659775,0.18572561,0.57767665,2,0,"[0.23659774661064148, 0.1857256144285202, 0.5776766538619995]"
27,000036.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.29050323,0.28869122,0.4208055,2,1,"[0.29050323367118835, 0.2886912226676941, 0.42080551385879517]"
28,000037.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.25752947,0.51460284,0.22786762,1,1,"[0.25752946734428406, 0.5146028399467468, 0.22786761820316315]"
29,000038.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.31446502,0.29125953,0.39427552,2,2,"[0.3144650161266327, 0.2912595272064209, 0.3942755162715912]"
30,000039.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.31181368,0.3052449,0.38294145,2,0,"[0.31181368231773376, 0.30524489283561707, 0.38294145464897156]"
